CUSTOMERID,AGE,EDUCATION,YEARSEMPLOYED,INCOME,CARDDEBT,OTHERDEBT,DEFAULTED,ADDRESS
1,41,UNDER GRADUATE,6,19,0.124488,1.072512,0,NBA001
2,47,SCHOOL,26,100,4.5824,8.2176,0,NBA021
3,33,UNDER GRADUATE,10,57,6.111369,5.801631,1,NBA013
4,29,UNDER GRADUATE,4,19,0.681093,0.515907,0,NBA009
5,47,SCHOOL,31,253,9.308376,8.907624,0,NBA008
6,40,SCHOOL,23,81,0.997677,7.831323,,NBA016
7,38,UNDER GRADUATE,4,56,0.441728,0.454272,0,NBA013
8,42,POST GRADUATE,0,64,0.278784,3.945216,0,NBA009
9,26,SCHOOL,5,18,0.57474,2.21526,,NBA006
10,47,POST GRADUATE,23,115,0.6532,3.9468,0,NBA011
11,44,POST GRADUATE,8,88,0.284504,5.083496,1,NBA010
12,34,UNDER GRADUATE,9,40,0.37376,0.26624,,NBA003
13,24,SCHOOL,7,18,0.5265,0.6435,0,NBA000
14,46,SCHOOL,6,30,1.41504,3.86496,,NBA019
15,28,POST GRADUATE,2,20,0.23312,1.64688,1,NBA000
16,24,SCHOOL,1,16,0.185472,1.286528,,NBA005
17,29,SCHOOL,1,17,0.13175,0.29325,0,NBA004
18,43,DOCTRATE,1,26,1.518556,1.237444,0,NBA005
19,44,SCHOOL,18,61,2.806488,3.781512,,NBA000
20,36,SCHOOL,16,32,0.544128,2.943872,,NBA013
21,29,UNDER GRADUATE,6,25,0.58485,0.46515,0,NBA009
22,36,POST GRADUATE,10,43,0.96148,4.62852,0,NBA004
23,28,POST GRADUATE,6,47,5.574294,3.731706,1,NBA008
24,45,SCHOOL,19,77,2.302608,4.165392,0,NBA022
25,37,DOCTRATE,10,123,3.021618,18.257382,0,NBA018
26,43,SCHOOL,9,66,2.340624,3.467376,,NBA008
27,24,SCHOOL,4,21,0.099372,0.446628,0,NBA002
28,37,SCHOOL,19,38,2.59065,2.53935,,NBA007
29,38,UNDER GRADUATE,13,59,0.407808,1.008192,0,NBA000
30,34,UNDER GRADUATE,9,45,1.11807,3.42693,0,NBA013
31,40,POST GRADUATE,18,100,1.485,1.015,0,NBA006
32,42,UNDER GRADUATE,12,55,2.53275,5.71725,0,NBA009
33,23,UNDER GRADUATE,0,42,1.018836,0.619164,1,NBA001
34,40,POST GRADUATE,5,28,1.2628,1.5372,,NBA018
35,28,SCHOOL,12,45,1.853775,1.611225,0,NBA007
