CountryName,Province,Status,CityName,Latitude,Longitude
Brazil,Mato Grosso,Provincial capital,Cuiaba,-15.6150000346671,-56.0930035634594
Brazil,Distrito Federal,National and provincial capital,Brasilia,-15.7921109067374,-47.8977475379138
Brazil,Goias,Provincial capital,Goiania,-16.727003889114,-49.2550014849788
Brazil,Mato Grosso do Sul,Provincial capital,Campo Grande,-20.4509970214592,-54.615995546089
Paraguay,Amambay,Provincial capital,Pedro Juan Caballero,-22.5330030369038,-55.7479976043001
Paraguay,Canindeyu,Provincial capital,Salto del Guaira,-24.0499980292341,-54.2833015711747
Paraguay,Alto Parana,Provincial capital,Puerto Presidente Stroessner,-25.5269969450032,-54.6229974906774
Paraguay,Itapua,Provincial capital,Encarnacion,-27.3770009931349,-55.8510025770062
Argentina,Misiones,Provincial capital,Posadas,-27.3979980562661,-55.9060015675947
Peru,Madre de Dios,Provincial capital,Puerto Maldonado,-12.6029970363871,-69.1919994629812
Peru,Cusco,Provincial capital,Cuzco,-13.5260010107517,-71.9870035734592
Peru,Apurimac,Provincial capital,Abancay,-13.6420019116663,-72.8839974882043
Peru,Puno,Provincial capital,Puno,-15.8450039522787,-70.034003488739
Peru,Arequipa,Provincial capital,Arequipa,-16.3980000343164,-71.5229994733497
Bolivia,La Paz,National and provincial capital,La Paz,-16.4990069573212,-68.1462445092429
Wallis & Futuna,Wallis & Futuna,National and provincial capital,Mata-Utu,-13.2732990234759,-176.151563636364
Samoa,Samoa,National capital,Apia,-13.8370229146889,-171.739493586127
American Samoa,American Samoa,National and provincial capital,Pago Pago,-14.2683749375493,-170.697860664856
French Polynesia,French Polynesia,National and provincial capital,Papeete,-17.5349968858133,-149.570009674919
Niue,Niue,National and provincial capital,Alofi,-19.0166669088309,-169.916669567085
Tonga,Tonga,National capital,Nuku' alofa,-21.1309020252917,-175.245650648838
Cook Is.,Cook Is.,National and provincial capital,Avarua,-21.2333039755437,-159.766694578051
Pitcairn Is.,Pitcairn Is.,National and provincial capital,Adamstown,-25.0659990210469,-130.103000513561
Chile,Aisen del General Carlos Ibanez del Campo,Provincial capital,Puerto Aisen,-45.4020029239464,-72.7019995527103
Argentina,Chubut,Other,Comodoro Rivadavia,-45.8299979452961,-67.4999995436277
