Ticker;Nev;Sector;Price;Employees;Optionable;Shortable;Market_Cap;Income;Sales;PperE_ratio;BookValuePerShare;CashPerShare;ROA;ROE;ROI;recom
A;Agilent Technologies Inc;Healthcare;41.8;12100;1;1;13.69;0.459;4.04;30.21;12.29;5.87;0.061;0.11;;2
AA;Alcoa Inc;Basic Materials;10.4;60000;1;1;13.38;-0.571;21.66;;9.26;1.05;-0.016;-0.047;0.014;2.6
AAL;American Airlines Group;Services;38.21;118500;1;1;23.36;7.61;40.99;3.28;8.99;9.9;0.159;1.927;0.349;2.1
AAP;Advance Auto Parts;Services;158.4;40000;1;1;11.53;0.4717;9.74;24.59;33.59;1.24;0.058;0.203;0.149;2.4
AAPL;Apple Inc.;Consumer Goods;105.68;110000;1;1;584.22;53.73;234.99;11.16;23.07;6.85;0.192;0.428;0.283;1.9
ABBV;AbbVie;Healthcare;61.42;28000;1;1;98.55;5.14;22.86;19.42;2.42;5.2;0.109;1.311;0.169;2.2
ABC;AmerisourceBergen Corp;Services;91.89;16500;1;1;20.62;0.3954;139.08;52.65;6.31;4.34;0.014;0.292;;2.3
ABT;Abbott Laboratories;Healthcare;44.08;74000;1;1;64.54;2.13;20.39;30.97;14.4;;;;0.077;2
ACN;Accenture plc;Technology;113.95;358000;1;1;74.79;3.68;33.5;19.84;10.87;4.63;0.205;0.594;0.535;2.3
ADBE;Adobe Systems Inc;Technology;94.79;13893;1;1;48.72;0.799;5.07;60.67;14;8.06;0.069;0.116;0.074;1.9
ADI;Analog Devices, Inc.;Technology;58.48;9700;1;1;18.22;0.6826;3.43;27.11;16.05;12.15;0.095;0.136;0.121;2.2
ADM;Archer-Daniels-Midland Co;Consumer Goods;39.62;32300;1;1;22.31;1.85;67.7;13.13;29.83;2.37;0.045;0.101;0.058;2.9
ADP;Automatic Data Processing;Technology;89.65;55000;1;1;40.99;1.42;11.22;29.43;9.19;6.17;0.042;0.32;0.274;2.9
ADS;Alliance Data Systems;Services;205.99;16000;1;1;11.89;0.5515;6.44;23.04;33.02;16.64;0.026;NA;0.069;1.9
ADSK;Autodesk Inc;Technology;59.54;9500;1;1;13.59;-0.3305;2.5;;7.21;9.94;-0.06;-0.167;-0.099;2.5
ADT;ADT Corp;Services;41.79;17100;1;1;6.94;0.288;3.59;24.72;17.61;0.45;0.027;0.097;;2.8
AEE;Ameren Corp;Utilities;46.55;8527;1;1;11.38;0.579;6.1;19.74;28.63;1.21;0.027;0.092;0.062;2.4
AEP;American Electric Power;Utilities;62.74;17405;1;1;30.61;1.76;16.45;17.48;36.45;1.16;0.044;0.152;0.063;2
AES;AES Corp;Utilities;11.18;21000;1;1;7.33;0.306;14.96;25.17;4.73;2.62;0.008;0.084;0.027;2.3
AET;Aetna Inc;Healthcare;114.82;50100;1;1;39.96;2.39;60.34;16.85;46.09;7.22;0.044;0.153;0.115;2.1
