id,name,surname,date_of_birth,date_of_death,place_of_birth,place_of_death,life,music,computed_death
258,Johann,Nepomuk Kafka,1819-05-17,1886-10-23,Bohemia,?,Johann Nepomuk Kafka is known as a composer of “Salon” music. He was also an autograph collector. Beethoven’s so-called Kafka note book is named after Johann Nepomuk Kafka.,,
259,Erik,Satie,1866-05-17,1925-07-01,"Honfleur,France","Paris,France",,,
260,Werner,Egk,1901-05-17,1983-07-10,"Auchsesheim,Germany","Inning,Germany",,,
261,Peter,Mennin,1923-05-17,1983-06-17,"Erie,,USA","New,USA",,,
262,Philippe,Boesmans,1936-05-17,,"Tongeren,Belgium",,,,
263,Jacob,Wilhelm Lustig,1706-09-21,1796-05-17,"Hamburg,Germany","Groningen,The Netherlands","The Dutch theorist, organist and composer Jacob Wilhelm Lustig was of German descent. Among his teachers were Mattheson, Telemann and Kuntzen. His father, who was also called Jacob Wilhelm, had been a pupil of J.A. Reincken.",,
264,Fanny,Cécile Mendelssohn (Hensel),1805-11-14,1847-05-17,"Hamburg,Germany","Berlin,Germany",,,
265,Henri,Cohen,,1880-05-17,"Amsterdam,The Netherlands","Brie,France",,,
266,Paul,Dukas,1865-10-01,1935-05-17,"Paris,France","Paris,France",,,
267,Pietro,Mascagni,1863-12-07,1945-08-02,"Livorno,Italy","Roma,Italy",,,
268,Ruggero,Leoncavallo,1857-04-23,1919-08-09,"Napoli,Italy","Montecatini,Italy",,,
269,Maurice,Ravel,1875-03-07,1937-12-28,"Ciboure,France","Paris,France",,,
270,Aloís,Hába,1893-06-21,1973-11-18,"Vizovice,Eastern Moravia","Praha,Czechoslovakia (Now Czech Republic)",Student: Necil Akses (Turkey),,
271,Sergey,Prokofiev,1891-04-23,1953-03-05,"Sontsovka,Russia (now Ukraine)","Moscow,Russia",Prokofiev’s birthday in the old style calendar is 11 April 1891.,,
272,Samuel,Lover,1797-02-24,1868-07-06,"Dublin,Ireland","St.,UK","The Irish composer Samuel Lover was also known as a writer and as a painter. He wrote the text to his own opera “Grana Uile, or the The Island Queen” (premiered 9 February 1839 in Dublin). He also painted a miniature of Paganini in 1832. From 1835 he settled in London as a miniature painter. After his eyesight began to fail him, he started touring with a successful musical entertainment, called “Irish Evenings”, in Enlend, Scotland, Wales and even the USA (1846).",,
273,William,James Mathias,1934-11-01,1992-07-29,"Whitland,,Wales","Anglesey,Wales",,,
274,Ralf,Bauer-Mörkens,1953-02-26,,"Bonn,Germany",,,,
275,Nancy,Van de Vate,1930-12-30,,"Plainfield,,USA",,,,
276,Ignaz,[Ignace] Vitzthumb (Witzthumb),1724-09-14,1816-03-23,"Baden,Austria","Brussel,Belgium",,,
277,Lilia,Valitova,1960-10-03,,"Salavat,,Russia",,,,
278,Arkadi,Troitsky <small>(Аркадий Троицкий)</small>,1957-04-10,,"Moscow,Russia",,,,
279,Olivia,Saunders Fox,1980-05-19,,"Kingston-upon-Thames,England",,,,
280,Wolfgang,Amadeus <small>(Amadé)</small> Mozart,1756-01-27,1791-12-05,"Salzburg,Austria","Wien,Austria","Son of Leopold, father of Franz Xaver.",,
281,Antonio,Vivaldi,1678-03-04,1741-07-28,"Venezia,Italy","Wien,Austria",,,
282,Pyotr,Ilyich Tchaikovsky,1840-05-07,1893-11-06,"Wotkinsk,Russia","St.,Russia",,,
283,Ludwig,van Beethoven,1770-12-16,1827-03-26,"Bonn,Germany","Wien,Austria",Beethoven’s birthdate was very likely 16 December. He was baptised on the 17 December (thanks Melissa Arseneau!).,,
284,Johann,Sebastian Bach,1685-03-21,1750-07-28,"Eisenach,Germany","Leipzig,Germany","Father of Wilhelm Friedemann, Carl Philipp Emanuel, Johann Christoph Friedrich and Johann Christian.",,
285,Johann,Nepomuk Hummel,1778-11-14,1837-10-17,"Pressburg,Slovak Republic","Weimar,Germany",,,
286,Johannes,Brahms,1833-05-07,1897-04-03,"Hamburg,Germany","Wien,Austria",,,
287,Antonio,Salieri,1750-08-18,1825-05-07,"Legnago,Italy","Vienna,Austria",,,
288,Gustav,Mahler,1860-07-07,1911-05-18,"Kalischt,Czech Republic","Wien,Austria",,,
289,Georges,Bizet,1838-10-25,1875-06-03,"Paris,France","Bougival,France",,,
290,Thorvald,Aagaard,1877-06-08,1973-03-22,Denmark,Denmark,,,
291,Torstein,Aagaard-Nilsen,1964-01-11,,"Oslo,Norway",,,,
292,Johannes,Aal,,1553-05-28,,"Soloturn,Switzerland",,,
293,Heikki,Johannes Aaltoila,1905-11-12,1992-12-01,"Hausjärvi,Finland","Helsinki,Finland",,,
294,Erkki,Aaltonen,1910-08-17,1990-03-08,"Hämeenlinna,Finland","Helsinki,Finland",,,
295,Els,Aarne,1917-03-30,1995-06-14,"Makeyevka,Ukraine","Tallinn,Estonia",,,
296,Alfred,E. Aarons,1931-11-16,,?,,,,
297,Evald,Aav,1900-02-22,1939-03-21,"Tallinn,Estonia","Tallinn,Estonia",,,
298,Juhan,Aavik,1884-01-29,1982-11-26,"Reval,Estonia","Stockholm,Sweden","Conductor and composer, who studied at the St. Petersburg Conservatory. In 1944 Juhan Aavik went to Sweden.",,
299,Joseph,Marie Clément Abaco <small>(dall’Abaco)</small>,1710-03-29,1805-08-31,"Brussel,Belgium","Arbizzano,Italy",Belgian violoncellist and composer Joseph Abaco was the son of composer Evaristo Felice Dall’Abaco.,,
300,Arkady,Maksimovich (Maximovich) Abaza,,1915-01-16,,"?,Russia",,,
301,Theo,Abazis,1967-07-15,,"Athens,Greece",,,,
302,Pietro,Abbà-Cornaglia,1851-03-20,1894-05-02,"Allesandria,,Italy","Allesandria,,Italy",,,
303,Marcello,Abbado,1926-10-07,,"Milano,Italy",,The composer Marcello Abbado is a brother of the famous conductor Claudio Abbado.,,
304,Stefan,Timofeyevich Abbakumov,1870-12-05,,Ukraine,,,,
305,Achille,Abbati,1857-09-28,1914-01-11,Italy,Italy,,,
306,Antonio,Maria Abbatini,,,,"Tiferno,Italy",Composer and church musician.,,
307,Johann,Christian Ludwig Abeille,1761-02-20,1838-03-02,"Bayreuth,Germany","Stuttgart,Germany","Abeille was a pianist, organist and composer.",,
308,Karl,Friedrich Abel,1723-12-22,1787-06-20,"Cöthen,Germany","London,England",,,
309,Peter,"(Petrus) Abelard <small>(Abélard, Abaelardus, Aballard)</small>",,1142-04-21,"Le,France","St.,France",,,
310,Michael,Abels,1962-10-08,,"Phoenix,,USA",,,,
311,Giulio,Abondante,,,,,Composer and lute player.,,
312,Girolamo,Abos,1715-11-16,,"Valetta,Malta","Napoli,Italy",,,
313,Isabelle,Aboulker,1938-10-23,,"Boulogne,France",,,,
314,Hans,Abrahamsen,1952-12-23,,Denmark,,,,
315,Armine,Abrahamyan,,,Armenia,,,,
316,Daniel,Abrams,,,"Cleveland,,USA",,,,
317,Alexander,Abramsky,1898-01-22,1985-08-29,"Moscow,Russia","Moscow,Russia",,,
318,Emil,Ábrányi,1882-09-22,1970-02-11,"Budapest,Hungary","Budapest,Hungary",,,
319,Juan,Manuel Abras,,,"Stockholm,Sweden",,,,
320,Bozhidar,Abrashev,1936-03-28,2006-11-06,"Sofia,Bulgaria",Bulgaria,The Bulgarian composer Bozhidar Abrashev became Culture Minister of Bulgaria in 2001.,,
321,Jerzy,Abratowski,1929-04-22,1989-01-28,"Lwów,Poland (now Ukraine)","Los,USA",The Polish composer Jerzy Abratowski was also a pianist and organist.,,
322,Maurice,Abravanel,1903-01-06,1993-09-22,"Saloniki,Greece","Salt,USA",The Swiss-American Jewish Maurice Abravanel was mainly known as a conductor. He did not compose.,,
323,Anton,Absenger,1820-06-01,1899-12-16,"Zerlach,Austria","Graz,Austria",,,
324,Jean,Absil,1893-10-23,1974-02-02,"Bon-Secours,Belgium","Brussels,Belgium",,,
