T2s_Id,Conpany_Name,Company_Description,Profile_URL,Address,Location
9135,CIKLA PROM d.o.o.,"CIKLA PROM d.o.o.&nbsp;manufactures parts and components with technical processes like&nbsp;Bending, Sawing, Plasma sheet cutting, Welding.",http://www.tech2select.at/comp-9135/,"Jaskova ul.18 , 2000, Maribor, Slovenia","<Point><coordinates>15.6532024,46.536221</coordinates></Point>"
2012,Walther Meskendahl Eisen- & Metallgu&szlig; GmbH & Co. KG,"Walther Meskendahl Eisen- & Metallgu&szlig; GmbH & Co. KG&nbsp;manufactures parts and components with technical processes like&nbsp;Hand molding, Painting.",http://www.tech2select.co.uk/walther-meskendahl-eisen--und-metallguss-gmbh-und-co-kg/,"Dahlienstrasse  34a, 42477, Radevormwald, Germany","<Point><coordinates>7.38252,51.20231</coordinates></Point>"
7953,Maschinenfabrik Schmachtenhagen GmbH,"Maschinenfabrik Schmachtenhagen GmbH&nbsp;manufactures parts and components with technical processes like&nbsp;Turning, Milling , Drilling, Machining with maching center, Wire eroding, Erode, Shaping, , Broaching, Sawing, Glass bead blasting, Welding, Surface Grinding, Grinding, Painting, Straightening, Assembly, Carousel turning.",http://www.tech2select.co.uk/maschinenfabrik-schmachtenhagen-gmbh/?setWindowname=1&ShowSupplierInfo=1,"Stegeweg 5, 16515, Oranienburg, Germany","<Point><coordinates>13.3315359,52.7691334</coordinates></Point>"
7856,Gerhard Kummerfeld - Ger&auml;tebau GmbH,"Gerhard Kummerfeld - Ger&auml;tebau GmbH&nbsp;manufactures parts and components with technical processes like&nbsp;Milling , Drilling, Machining with maching center, Turning, Grinding, Surface Grinding, Metal cutting processes, Pushing, Cutting, Edge Bending.",http://www.tech2select.co.uk/gerhard-kummerfeld---geraetebau-gmbh/?setWindowname=1&ShowSupplierInfo=1,"Oststr. 116-118, 22844, Norderstedt, Germany","<Point><coordinates>10.02286,53.73603</coordinates></Point>"
7528,Maschinenbau Karp GmbH,"Maschinenbau Karp GmbH&nbsp;manufactures parts and components with technical processes like&nbsp;Drilling, Milling , Carousel turning, Turning, Erode, Grooving, Rolling, Metal sheet working.",http://www.tech2select.at/maschinenbau-karp-gmbh/,"Rudolf-Diesel-Stra&szlig;e 3, 53859, Niederkassel, Germany","<Point><coordinates>7.07241,50.78322</coordinates></Point>"
7689,Hirsch Porozoll GmbH,"Hirsch Porozoll GmbH&nbsp;manufactures parts and components with technical processes like&nbsp;Block transforming, Milling , Metal cutting processes, Drilling, Cutting, Machining with maching center, Turning.",http://www.tech2select.co.uk/hirsch-porozoll-gmbh/,"Glanegg 58, 9555, Glanegg, Austria","<Point><coordinates>14.214075,46.7204535</coordinates></Point>"
7470,DENIP spol s r.o.,"DENIP spol s r.o.&nbsp;manufactures parts and components with technical processes like&nbsp;Cutting, , By stamping, Bending, Edge Bending, Welding, Assembly, Galvanizing, Cataphoretic painting,  Nickel coating, Chromium coating, Bondering, Coating, Powder coating.",http://www.tech2select.co.uk/comp-7470/,"Střádalů 637, 718 00, Ostrava - Kunčičky, Czech Republic","<Point><coordinates>18.3135749,49.8072117</coordinates></Point>"
2236,GermannGuss AG Alu-Giesserei,"GermannGuss AG Alu-Giesserei&nbsp;manufactures parts and components with technical processes like&nbsp;Die-casting, Turning, Milling , Drilling, Grinding, Dump box casting, Thermal treatments .",http://www.tech2select.at/germannguss-ag-alu-giesserei/,"Burgauerstrasse 49, 9230, Flawil, Switzerland","<Point><coordinates>9.201969,47.4102816</coordinates></Point>"
3653,Kaplanoglou S.A.,"Kaplanoglou S.A.&nbsp;manufactures parts and components with technical processes like&nbsp;Copperplating, Gold coating, Chromium coating, Silver coating,  Nickel coating, Tin coating, Galvanizing, , Chromizing, Chromatic passivation.",http://www.tech2select.co.uk/comp-3653/?setWindowname=1&ShowSupplierInfo=1,"6 Tripoleos Str. , 18346, Moschaton, Greece","<Point><coordinates>23.6959878,37.9631413</coordinates></Point>"
8381,Drehtechnik Wilkening,Drehtechnik Wilkening&nbsp;manufactures parts and components with technical processes like&nbsp;Turning.,http://www.tech2select.co.uk/drehtechnik-wilkening/,"B&ouml;rstelstra&szlig;e 68, 32584, L&ouml;hne, Germany","<Point><coordinates>8.74699,52.20953</coordinates></Point>"
7846,RSB GmbH & Co. KG,"RSB GmbH & Co. KG&nbsp;manufactures parts and components with technical processes like&nbsp;Flame cutting, Grinding, Milling , Sawing, Machining with maching center, Metal cutting processes, Hole blanking, Blasting, Welding, Stress-relief annealing.",http://www.tech2select.at/rsb-gmbh-und-co-kg/,"Gartenstr. , 36460, Merkers, Germany","<Point><coordinates>10.1207364,50.8197187</coordinates></Point>"
8037,HAMEDAN AG,"HAMEDAN AG&nbsp;manufactures parts and components with technical processes like&nbsp;Machining with maching center, Milling , Turning, Grinding, Cleaning, Drilling, Sawing, Welding, Stud welding, Spot-welding, , Metal cutting processes, Pushing, Edge Bending, .",http://www.tech2select.co.uk/hamedan-ag/,"L&ouml;hrweg 2, 4442, Diepflingen, Switzerland","<Point><coordinates>7.840496,47.4438261</coordinates></Point>"
1576,"Jung, Boucke GmbH & Co.","Jung, Boucke GmbH & Co.&nbsp;manufactures parts and components with technical processes like&nbsp;Thermal treatments , Pushing, Welding, Machining with maching center, Drop forging, Hammering.",http://www.tech2select.co.uk/jung-boucke-gmbh-und-co/?setWindowname=1&ShowSupplierInfo=1," , 58542, Halver, Germany","<Point><coordinates>7.53584,51.22105</coordinates></Point>"
7566,Optiwa B. V.,"Optiwa B. V.&nbsp;manufactures parts and components with technical processes like&nbsp;Grinding, Turning, Milling .",http://www.tech2select.at/comp-7566/,"Molenweg 3, 5953, Reuver, Netherlands","<Point><coordinates>6.0898802,51.2902428</coordinates></Point>"
3712,Metales Industriales de El Salvador S.A. de C.V.,"Metales Industriales de El Salvador S.A. de C.V.&nbsp;manufactures parts and components with technical processes like&nbsp;Sawing, Pushing, Hot rolling, Drop forging, Smith forging, Pressing, Welding, Cutting.",http://www.tech2select.co.uk/comp-3712/,"25 Ave. Sur , #418, San Salvador, Argentina","<Point><coordinates>-56.1748947,-34.9112129</coordinates></Point>"
3715,Metales Industriales de Guatemala S.A.,"Metales Industriales de Guatemala S.A.&nbsp;manufactures parts and components with technical processes like&nbsp;Sawing, Pushing, Hot rolling, Drop forging, Smith forging, Pressing, Welding, Cutting.",http://www.tech2select.co.uk/comp-3715/,"5A Calle 2-64, 13, Guatemala, Guatemala","<Point><coordinates>-90.5206719,14.5923785</coordinates></Point>"
1488,SLR - Eisenwerk Martinlamitz GmbH,"SLR - Eisenwerk Martinlamitz GmbH&nbsp;manufactures parts and components with technical processes like&nbsp;Machine casting, Painting.",http://www.tech2select.co.uk/slr---eisenwerk-martinlamitz-gmbh/,"Eisenwerk 2, 95126, Schwarzenbach/Saale, Germany","<Point><coordinates>11.9647765,50.2101083</coordinates></Point>"
