COUNTRY,POPULATION,CODE
Russia,143439832,RUS
Germany,80682351,DEU
United Kingdom,65111143,GBR
France,64668129,FRA
Italy,59801004,ITA
Spain,46064604,ESP
Ukraine,44624373,UKR
Poland,38593161,POL
Romania,19372734,ROU
Netherlands,16979729,NLD
Belgium,11371928,BEL
Greece,10919459,GRC
Czech Republic,10548058,CZE
Portugal,10304434,PRT
Sweden,9851852,SWE
Hungary,9821318,HUN
Belarus,9481521,BLR
Serbia,8812705,SRB
Austria,8569633,AUT
Switzerland,8379477,CHE
Bulgaria,7097796,BGR
Denmark,5690750,DNK
Finland,5523904,FIN
Slovakia,5429418,SVK
Norway,5271958,NOR
Ireland,4713993,IRL
Croatia,4225001,HRV
Moldova,4062862,MDA
Bosnia and Herzegovina,3802134,BIH
Albania,2903700,ALB
Lithuania,2850030,LTU
Slovenia,2069362,SVN
Latvia,1955742,LVA
Estonia,1309104,EST
Montenegro,626101,MNE
Luxembourg,576243,LUX
Malta,419615,MLT
Iceland,331778,ISL
Isle of Man,88421,IMN
Andorra,69165,AND
Monaco,37863,MCO
Liechtenstein,37776,LIE
Gibraltar,32373,GIB
San Marino,31950,SMR
