helyseg;lakos
Debrecen;204333
Miskolc;162905
Szeged;161837
Pécs;147719
Budapest 11. ker.;144599
Gyõr;128567
Budapest 03. ker.;126654
Budapest 14. ker.;123492
Nyíregyháza;118185
Budapest 13. ker.;117866
Kecskemét;111863
Budapest 18. ker.;100912
Budapest 04. ker.;99784
Székesfehérvár;99247
Budapest 02. ker.;88477
Budapest 17. ker.;87055
Budapest 15. ker.;80686
Budapest 10. ker.;79160
Szombathely;77547
Budapest 21. ker.;76620
Budapest 08. ker.;75042
Szolnok;73193
Budapest 16. ker.;72181
Tatabánya;67406
Budapest 20. ker.;65631
Kaposvár;65337
Érd;63333
Békéscsaba;61046
Veszprém;60876
Budapest 19. ker.;60696
Sopron;60528
Zalaegerszeg;59618
Budapest 09. ker.;58747
Budapest 12. ker.;57922
Budapest 07. ker.;55618
Eger;54867
Budapest 22. ker.;54166
Nagykanizsa;49070
Dunaújváros;46813
Hódmezõvásárhely;45700
Dunakeszi;40441
Budapest 06. ker.;37890
Salgótarján;37199
Cegléd;36384
Baja;36224
Szigetszentmiklós;34714
Ózd;34361
Szekszárd;33599
Vác;33475
Gödöllõ;32792
Mosonmagyaróvár;32092
Hajdúböszörmény;31547
Pápa;31528
Gyula;31199
Gyöngyös;31018
Kiskunfélegyháza;29567
Ajka;29048
Orosháza;28888
Esztergom;28550
Szentes;28456
Kazincbarcika;28249
Kiskunhalas;28101
Budaörs;27306
Jászberény;26809
Budapest 05. ker.;26058
Siófok;25441
Szentendre;25274
Budapest 01. ker.;24561
Komló;24066
Nagykõrös;24016
Hajdúszoboszló;23988
Tata;23726
Makó;23378
Gyál;22709
Budapest 23. ker.;21894
Törökszentmiklós;21098
Hatvan;20525
Karcag;20523
Dunaharaszti;20396
Keszthely;20382
Várpalota;20307
Vecsés;20164
Békés;19924
Paks;19481
Komárom;19200
Dombóvár;19067
Fót;18927
Százhalombatta;18577
Oroszlány;18326
Göd;17843
Mohács;17738
Monor;17677
Balmazújváros;17622
Hajdúnánás;17168
Mátészalka;17144
Mezõtúr;17111
Szigethalom;17035
Csongrád;16961
Kisvárda;16888
Szarvas;16795
Tiszaújváros;16654
Mezõkövesd;16644
Kalocsa;16552
Dabas;16506
Gyömrõ;16466
Pomáz;16445
Veresegyház;16333
Balassagyarmat;16055
Tapolca;15966
Berettyóújfalu;15411
Sátoraljaújhely;15301
Pécel;15123
Püspökladány;15008
Sárvár;14812
Abony;14769
Mór;14357
Kiskõrös;14303
Pilisvörösvár;13838
Bonyhád;13758
Budakeszi;13707
Gyomaendrõd;13688
Balatonfüred;13313
Törökbálint;13015
Újfehértó;12979
Tiszavasvári;12964
Hajdúsámson;12884
Sárospatak;12827
Bátonyterenye;12764
Hajdúhadház;12762
Biatorbágy;12638
Nagykáta;12576
Sárbogárd;12508
Nyírbátor;12399
Albertirsa;12181
Kistarcsa;12046
Sajószentpéter;12034
Dorog;11905
Bicske;11813
Maglód;11753
Marcali;11733
Körmend;11694
Kõszeg;11628
Tiszafüred;11616
Üllõ;11585
Tiszakécske;11553
Kiskunmajsa;11498
Pilis;11498
Kisújszállás;11469
Tiszaföldvár;11227
Isaszeg;11210
Lajosmizse;11188
Barcs;11173
Tolna;11172
Celldömölk;11156
Nagyatád;10921
Heves;10864
Szigetvár;10755
Mezõberény;10586
Kapuvár;10498
Csorna;10489
Budakalász;10450
Sarkad;10108
Tököl;10106
Edelény;10030
Ráckeve;9965
Gárdony;9952
Kerepes;9943
Solymár;9901
Pásztó;9559
Siklós;9501
Nagykálló;9469
Szeghalom;9412
Diósd;9235
Halásztelek;9183
Szerencs;9166
Csömör;9077
Ócsa;9073
Jánoshalma;8941
Derecske;8914
Tárnok;8888
Nádudvar;8887
Jászapáti;8879
Hajdúdorog;8877
Túrkeve;8869
Kiskunlacháza;8855
Vásárosnamény;8831
Kunszentmárton;8793
Szentgotthárd;8787
