x	y	varos
19.0793091	47.5019278	Budapest
19.674522	46.910476	Kecskemet
18.701093	46.345231	Szekszard
20.1883789	47.1744985	Szolnok
16.9999998	46.4525276	Nagykanizsa
20.6705089	46.5630669	Oroshaza
20.8077661	48.1029912	Miskolc
19.811018	48.114113	Salgotarjan
21.6119741	47.5341703	Debrecen
18.1450932	46.3839215	Dombovar
16.5918348	47.0122153	Kormend
22.3141615	47.9546403	Mateszalka
18.2365562	46.0737302	Pecs
19.471555	46.433044	Kiskunhalas
19.6837566	47.6712682	Hatvan
20.790196	48.115837	Miskolc
19.145877	47.783352	Vac
19.4888846	47.6504947	Aszod
19.471555	46.433044	Kiskunhalas
19.2575499	47.539439	Kistarcsa
17.9084795	47.091299	Veszprem
20.9150285	47.3254439	Karcag
17.024309	47.595058	Kapuvar
21.7174243	47.9784262	Nyiregyhaza
20.4621915	46.2164105	Mako
21.5117726	47.6704257	Hajduboszormeny
20.1721567	47.1574694	Szolnok
16.94479	47.249769	Sarvar
19.3107312	47.6390453	Szada
20.790196	48.115837	Miskolc
18.701093	46.345231	Szekszard
21.652078	48.397839	Satoraljaujhely
20.316404	46.4138884	Hodmezovasarhely
21.652078	48.397839	Satoraljaujhely
16.932521	47.254889	Sarvar
20.630567	46.999987	Mezotur
18.3706666	47.1212468	Szabadbattyan
19.911172	47.493784	Jaszbereny
16.598244	47.675985	Sopron
18.231748	46.075206	Pecs
19.9298459	47.788002	Gyongyos
19.9298459	47.788002	Gyongyos
21.1038306	46.6822584	Bekescsaba
21.7272714	47.9508399	Nyiregyhaza
18.701093	46.345231	Szekszard
20.3727096	47.9044716	Eger
18.9428386	46.9646605	Dunaujvaros
20.1553994	46.2563557	Szeged
16.6293155	47.236569	Szombathely
18.8936534	47.3775059	Erd
19.3093678	48.0790048	Balassagyarmat
21.1038306	46.6822584	Bekescsaba
18.701093	46.345231	Szekszard
20.2083503	47.1742484	Szolnok
22.513278	47.9958979	Fehergyarmat
18.9428386	46.9646605	Dunaujvaros
19.674522	46.910476	Kecskemet
19.674522	46.910476	Kecskemet
18.272125	46.188709	Komlo
20.2083503	47.1742484	Szolnok
21.6119741	47.5341703	Debrecen
21.7272714	47.9508399	Nyiregyhaza
