OBJECTID,Name,Longitude,Latitude,LocationDescription,RegionID,RegionName
2,Ikh Gun Nuur,108.301533333333,47.633566666666702,Mongolia,,
3,Guremiin Nuur,112.17031666666701,47.820133333333303,Mongolia,,
4,Small Pool near Khar Chuluut Uul,112.368233333333,47.836300000000001,Mongolia,,
5,Ereenii Burd Nuur,113.25036666666701,48.069400000000002,Mongolia,,
6,Khotongiin Nuur,113.757933333333,48.110199999999999,Mongolia,,
7,Shaazan Nuur,114.161,48.0381,Mongolia,,
8,Chuhiin Nuur,114.6755,49.532416666666698,Mongolia,,
9,Khaichiin Tsagaan Nuur,114.657833333333,49.6758666666667,Mongolia,,
10,Khorin Tsagaan Nuur,114.62111666666701,49.667766666666701,Mongolia,,
11,Delger Nuur,114.595383333333,49.713700000000003,Mongolia,,
12,Suujiin Tsagaan Nuur,114.961816666667,49.759549999999997,Mongolia,,
13,Bus Nuur,115.157783333333,49.731383333333298,Mongolia,,
14,Turgenii Ikh Nuur,113.260433333333,49.395733333333297,Mongolia,,
15,Binder Tsagaan Nuur,110.621233333333,48.592233333333297,Mongolia,,
16,Ovagolu (Likely Destroyed),29.420000076293945,36.319999694824219,Turkey,,
17,Goksu Delta (Silifke),33.950000762939453,36.299999237060547,Turkey,,
18,Amik Golu,36.25,36.319999694824219,Turkey,,
19,Avlan Golu,29.979999542236328,36.599998474121094,Turkey,,
20,Akyatan Golu,35.319999694824219,36.580001831054687,Turkey,,
21,Akyayan Golu,35.650001525878906,36.580001831054687,Turkey,,
22,Kokarot,35.529998779296875,36.580001831054687,Turkey,,
23,Karagol (Destroyed),29.879999160766602,36.680000305175781,Turkey,,
24,Aynas Swamp (Drained),34.869998931884766,36.669998168945313,Turkey,,
25,Tarsus Marsh (Drained),34.970001220703125,36.669998168945313,Turkey,,
26,Tuzla Golu (Ceyhan Delta),35.080001831054688,36.669998168945313,Turkey,,
27,Cukurova Delta Flooded Fields,35.080001831054688,36.669998168945313,Turkey,,
28,Yemisli Golu(10Km N.Of Karatas,35.430000305175781,36.680000305175781,Turkey,,
29,Yumurtalik Lagoons(Yapi+Omerg),35.650001525878906,36.680000305175781,Turkey,,
30,Koycegiz Golu,28.629999160766602,36.849998474121094,Turkey,,
31,Seyhan Baraji,35.319999694824219,36.979999542236328,Turkey,,
32,Firat At Kargamis,38,36.849998474121094,Turkey,,
33,Golhisar Golu,29.670000076293945,37.150001525878906,Turkey,,
34,Sogut Golu,29.879999160766602,37,Turkey,,
35,Pooleflood Near Ceyhan,35.880001068115234,37,Turkey,,
36,Emen Golu,36.669998168945313,37.150001525878906,Turkey,,
37,Firat At Birecik,38,37.029998779296875,Turkey,,
38,Gulluk Golu,27.620000839233398,37.25,Turkey,,
39,Karaman,33.279998779296875,37.270000457763672,Turkey,,
40,Karatas (Kokarot) Golu,30.020000457763672,37.400001525878906,Turkey,,
41,Sakarya: Lake Ne  Of Ahiler,31.469999313354492,37.330001831054688,Turkey,,
42,Sugla Golu (Likely Drained),32.029998779296875,37.349998474121094,Turkey,,
43,Suleymanhali Golu,33.069999694824219,37.419998168945313,Turkey,,
44,Ivriz Baraji Near Eregli,34.069999694824219,37.369998931884766,Turkey,,
45,Garsurgole,36.779998779296875,37.330001831054688,Turkey,,
46,Celik Golu,36.779998779296875,37.330001831054688,Turkey,,
47,Menderes Delta,27.280000686645508,37.529998779296875,Turkey,,
48,Bafa Golu,27.399999618530273,37.529998779296875,Turkey,,
49,Tuzla Milas,28.200000762939453,37.5,Turkey,,
50,Salda Golu,29.680000305175781,37.5,Turkey,,
51,Yesilova Marsh,29.899999618530273,37.5,Turkey,,
52,Yarisli Golu,30.020000457763672,37.580001831054688,Turkey,,
53,Karaveli Golu,30.430000305175781,37.580001831054688,Turkey,,
54,Kovada Golu,30.879999160766602,37.630001068115234,Turkey,,
55,Bataklik / Hotamis (Much Drained,33.169998168945313,37.619998931884766,Turkey,,
56,Eregli (Ak-Gol),33.970001220703125,37.520000457763672,Turkey,,
57,Yuksekova,44.25,37.549999237060547,Turkey,,
58,Corak Golu: Bayinder,29.799999237060547,37.680000305175781,Turkey,,
59,Beylemi Golu ;Calti [Drained],29.680000305175781,37.770000457763672,Turkey,,
60,Burdur Golu,30.200000762939453,37.680000305175781,Turkey,,
61,Beysehir Golu,31.569999694824219,37.700000762939453,Turkey,,
62,Konya Ovazi(Sakyatan)(Drained),32.830001831054687,37.799999237060547,Turkey,,
63,Karapinar Ovasi,33.630001068115234,37.779998779296875,Turkey,,
64,Krater Golu,33.75,37.700000762939453,Turkey,,
65,Aksaray (Dam Near),37.5,37.669998168945313,Turkey,,
66,Acigol (Karabucak),29.799999237060547,37.849998474121094,Turkey,,
67,Egridir Golu,30.879999160766602,37.950000762939453,Turkey,,
68,Akyay Golu,32.720001220703125,37.880001068115234,Turkey,,
69,Azap Lake,27.450000762939453,38.099998474121094,Turkey,,
70,Gokceli (Drained),30.200000762939453,38.029998779296875,Turkey,,
71,Guvenc Golu (Likely Drained),32.720001220703125,38.069999694824219,Turkey,,
72,Isikli Golu [Civril Golu],29.930000305175781,38.200000762939453,Turkey,,
73,Alparslan (Drained),30.420000076293945,38.220001220703125,Turkey,,
74,Hoyran Golu(+Egridir Since '86,30.770000457763672,38.220001220703125,Turkey,,
75,Esmekaya Golu,33.450000762939453,38.279998779296875,Turkey,,
76,Kurbaga Golu,35.229999542236328,38.299999237060547,Turkey,,
77,Sultansazligi(Yay+Col+Kurbaga),35.229999542236328,38.299999237060547,Turkey,,
